timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,pcie_gen_current,pcie_width_current,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons
2025-10-09T18:59:38,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,64,e2e,250000,1,1.0434,1.0434,68.398,65.6,0,NA,NA,NA,NA,81.0,NA
2025-10-09T18:59:39,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,64,e2e,250000,1.0,1.0407,1.0407,68.140,65.5,0,NA,NA,NA,NA,81.0,NA
2025-10-09T18:59:40,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,64,e2e,250000,1.0,1.0386,1.0386,68.302,65.8,0,NA,NA,NA,NA,81.0,NA
2025-10-09T18:59:41,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,64,e2e,250000,1.0,1.0423,1.0423,68.409,65.6,0,NA,NA,NA,NA,80.0,NA
2025-10-09T18:59:42,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,64,e2e,250000,1.0,1.0418,1.0418,68.298,65.6,0,NA,NA,NA,NA,81.0,NA
2025-10-09T18:59:48,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,96,e2e,131072,1.0,1.9292,1.9292,126.368,65.5,0,NA,NA,NA,NA,80.0,NA
2025-10-09T18:59:50,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,96,e2e,131072,1.0,1.9271,1.9271,126.927,65.9,0,NA,NA,NA,NA,80.0,NA
2025-10-09T18:59:52,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,96,e2e,131072,1.0,1.9271,1.9271,132.721,68.9,0,NA,NA,NA,NA,80.0,NA
2025-10-09T18:59:54,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,96,e2e,131072,1.0,1.9295,1.9295,132.369,68.6,0,NA,NA,NA,NA,79.0,NA
2025-10-09T18:59:56,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,96,e2e,131072,1.0,1.9184,1.9184,131.738,68.7,0,NA,NA,NA,NA,79.0,NA
2025-10-09T18:59:59,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,128,e2e,65536,1.0,1.1194,1.1194,181.419,162.1,0,NA,NA,NA,NA,80.0,NA
2025-10-09T19:00:00,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,128,e2e,65536,1.0,1.1300,1.1300,179.783,159.1,0,NA,NA,NA,NA,79.0,NA
